Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/ Violent crime total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Tucson Police Dept,AZ,3713,3644,3523,3527,,3680,3896,4327,4363,4882,5427,5199,5116,4834,4307,4542,4823,4709,4709,4873,5048,4580,4103,4252,3560,3331,3440,3851, 
Fresno Police Dept,CA,2311,3426,3373,3997,4289,4399,4608,5363,5511,6199,5659,5461,4782,4254,4008,3843,4096,3780,3505,3496,3897,3524,3043,2782,2933,3034,2915,2748, 
San Francisco Police Dept,CA,9502,9506,9298,9667,10064,12388,12160,13676,13365,10837,10903,9886,8549,7337,6555,6499,,6059,5725,5757,5985,6533,6414,6744,5957,5747,5374,5777, 
San Jose Police Dept,CA,3470,4020,4378,4689,4535,4698,5258,5427,5317,5915,6649,6075,6191,5155,5088,4928,5564,4134,3378,3379,3492,3561,3759,3643,3439,3215,3206,3547, 
Denver Police Dept,CO,4252,4650,3841,3634,3572,4205,5034,5303,5252,4706,4357,3832,3535,2916,2909,2885,3074,3104,3531,4490,4493,4324,3528,3359,3473,3387,3708,3871, 
Washington Metropolitan Police Dept,DC,10171,9422,10016,11913,12936,14919,14665,16680,16888,15177,14745,13411,10706,8988,8448,8622,9928,9109,8839,7336,7716,8408,7924,8135,7587,7468,6985,7448, 
Jacksonville,FL,7301,8003,9577,,9449,11654,10645,11548,11417,10423,9596,9765,9437,8113,7265,8207,7388,7043,6729,6533,6600,6663,8146,8032,6772,5469,5182,5189, 
Honolulu Police Dept,HI,1801,2076,2258,2186,,2412,2058,2382,2501,2528,2882,2748,2636,2342,2198,2302,2453,2601,2606,2507,2570,2745,2613,2575,2537,2548,,, 
Indianapolis Police Dept,IN,4622,4307,4543,5635,5859,6224,7072,6814,6292,6467,5707,7418,7852,8624,7714,6843,7428,7518,7067,7067,7948,7689,9841,9735,9759,9646,9170,9942, 
Louisville Metro,KY,,,,,,,,,,,,,,,,,,,,3280,3896,3836,4238,4306,3769,3734,4086,3989, 
Baltimore City Police Dept,MD,15498,15229,14295,14721,15618,17942,19032,21799,21945,20951,21492,19509,17416,16025,,16003,14799,13789,11183,11667,11248,10816,10182,10080,9664,9316,8886,8789, 
Boston Police Dept,MA,11887,12395,11954,12175,12919,13664,11829,11672,10843,10664,9569,9154,7886,7427,7263,7322,7361,6956,7173,6917,7479,7533,6837,6676,6192,5819,5252,5266, 
Detroit Police Dept,MI,25904,27277,27778,25805,24956,27747,28262,26447,,27471,24011,23239,21976,24427,21976,22112,20947,19940,18724,15913,21246,21391,19690,17982,18094,16973,15245,15011, 
Albuquerque Police Dept,NM,4105,4292,3845,4275,4696,5121,5591,6168,6696,6707,4735,6267,5677,5563,5255,5136,5259,4889,4439,4720,4670,4550,5080,4718,4082,4291,4207,4151, 
