County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misd,DWI Misd,Property Misd,Other Misd
Albany,1970,1222,686,97,190,5,394,536,206,48,95,187
Albany,1971,1831,828,130,231,6,461,1003,204,111,271,417
Albany,1972,3028,1049,210,254,8,577,1979,284,297,539,859
Albany,1973,3568,1133,244,274,28,587,2435,369,497,667,902
Albany,1974,4244,1324,281,307,17,719,2920,434,618,884,984
Albany,1975,4167,1256,209,343,12,692,2911,399,461,975,1076
Albany,1976,4586,1430,201,431,26,772,3156,359,573,1008,1216
Albany,1977,4810,1337,122,403,45,767,3473,270,857,1132,1214
Albany,1978,5754,1481,85,431,58,907,4273,156,1536,1330,1251
Albany,1979,6525,1657,144,513,65,935,4868,223,1845,1416,1384
Albany,1980,6320,1510,99,506,79,826,4810,257,1666,1475,1412
Albany,1981,6436,1726,158,597,81,890,4710,221,1482,1500,1507
Albany,1982,6385,1676,178,640,122,736,4709,188,1788,1380,1353
Albany,1983,6279,1691,137,624,125,805,4588,156,1842,1356,1234
Albany,1984,5901,1687,150,585,115,837,4214,198,1596,1193,1227
Albany,1985,6224,1716,162,560,159,835,4508,191,1731,1342,1244
Albany,1986,6637,2014,171,717,144,982,4623,247,1477,1393,1506
Albany,1987,6907,1824,224,682,118,800,5083,298,1647,1623,1515
Albany,1988,7700,1956,326,681,137,812,5744,411,1643,1827,1863
Albany,1989,8724,2359,565,710,149,935,6365,397,1813,2068,2087
Albany,1990,9111,2326,370,745,157,1054,6785,252,1873,2232,2428
Albany,1991,9859,2710,598,813,140,1159,7149,584,1515,2273,2777
Albany,1992,10113,2761,590,836,181,1154,7352,760,1402,2449,2741
Albany,1993,10115,2887,756,845,148,1138,7228,788,1303,2243,2894
Albany,1994,9920,2950,727,869,132,1222,6970,871,1171,2291,2637
Albany,1995,10329,2970,741,854,144,1231,7359,1016,1097,2448,2798
Albany,1996,9815,2799,634,760,138,1267,7016,825,1070,2511,2610
Albany,1997,10292,3104,746,827,152,1379,7188,911,1164,2288,2825
Albany,1998,10192,2977,753,683,118,1423,7215,961,1197,2122,2935
